Marque,Type de Vehicule,Nom du model,Annee,Couleur,Moteur,Chevaux,Prix (en euros),Description
Mercedes-Benz,Collection,300 D,1962,Noir,I6,168,"60,000","La Mercedes-Benz 300 D de 1962 représente l'apogée du luxe et de la sophistication dans le segment des berlines à cette époque. Avec son design élégant et intemporel, elle incarnait le prestige et le raffinement caractéristiques de la marque allemande. Sous son capot se trouvait un moteur diesel six cylindres en ligne, symbole d'efficacité énergétique et de fiabilité, offrant des performances solides et une conduite en douceur. L'intérieur spacieux et somptueux était doté de finitions haut de gamme et de technologies de pointe pour l'époque, offrant un confort exceptionnel aux passagers. De plus, la Mercedes-Benz 300 D était équipée d'innovations telles que des freins assistés, une suspension indépendante aux quatre roues et une direction assistée, assurant une conduite souple et sécuritaire."
Porsche,Collection,356,1948,Noir,V2,40,"65,000","La Porsche 356 est la première voiture de production de la marque. Disponible en différentes versions, y compris coupé, cabriolet et speedster, la 356 était propulsée par un moteur à plat quatre cylindres refroidi par air, situé à l'arrière. Les premiers modèles étaient équipés d'un moteur de 1,1 litre produisant environ 40 chevaux, tandis que les versions ultérieures ont été améliorées pour atteindre jusqu'à 130 chevaux dans la 356 Carrera 2. La 356 a établi les bases de ce qui allait devenir l'ADN de Porsche en matière de design et de performance."
Porsche,Collection,911 Carrera RS 2.7,1973,Orange,F4,210,"500,000","La Porsche 911 Carrera RS 2.7 est une version spéciale de la célèbre 911 de première génération. Dotée d'un moteur flat-six de 2,7 litres produisant environ 210 chevaux, la Carrera RS 2.7 était destinée à la course mais également homologuée pour la route. Elle était légère, agile et offrait des performances de premier ordre. La Carrera RS 2.7 était également célèbre pour son design distinctif, avec son aileron arrière ""queue de canard"" et ses couleurs vives de course."
Porsche,Collection,959,1986,Blanc,H6,450,Sur demande,"La Porsche 959 était une voiture de sport révolutionnaire pour son époque. Équipée d'un moteur flat-six biturbo de 2,8 litres produisant environ 450 chevaux, la 959 était l'une des voitures de série les plus rapides de son temps, avec une vitesse de pointe dépassant les 300 km/h. Elle était également équipée d'une transmission intégrale, d'une suspension réglable et d'une carrosserie en aluminium et en composite, lui conférant des performances et une maniabilité exceptionnelles sur route et sur piste."
Porsche,Collection,930 TURBO 3.3 FLATNOSE,1975,Blanc,H6,300,"310,000","La Porsche 930 Turbo, introduite en 1975, était une version suralimentée de la Porsche 911, qui a marqué une étape importante dans l'histoire de la marque. Son développement a été motivé par les succès de Porsche en compétition, notamment dans le Championnat du Monde des Voitures de Sport de la FIA, où les turbocompresseurs étaient de plus en plus utilisés pour augmenter la puissance des voitures de course. La 930 Turbo était dotée d'un moteur six cylindres à plat refroidi par air, équipé d'un turbocompresseur, ce qui lui permettait de délivrer une puissance impressionnante pour son époque. Avec son aileron arrière distinctif et ses élargisseurs d'ailes caractéristiques pour accommoder des pneus plus larges, la 930 Turbo était reconnaissable instantanément sur la route et sur la piste."
Porsche,Collection,928,1978,Gris,V8,235,"40,000","La Porsche 928 a été introduite en 1978 en tant que modèle phare de la gamme Porsche, conçue pour être une GT (Grand Tourisme) de luxe haut de gamme. Contrairement à la tradition de Porsche avec la 911, la 928 était équipée d'un moteur V8 monté à l'avant, ce qui en faisait une proposition de conduite différente mais tout aussi séduisante. Conçue comme une voiture de grand tourisme plutôt qu'une voiture de sport pur, la 928 offrait un confort et une sophistication supérieurs tout en conservant les performances et la qualité de fabrication caractéristiques de Porsche. Son moteur V8 de haute performance, combiné à une transmission arrière et à une suspension sophistiquée, offrait une conduite sportive et agile tout en étant confortable sur de longs trajets."
Porsche,Collection,914,1976,Jaune,F4,265,"38,000","La Porsche 914 a une histoire intéressante car elle a été le fruit d'une collaboration entre Porsche et Volkswagen. Conçue pour être une voiture de sport compacte et abordable, elle a été introduite sur le marché en 1969 et produite jusqu'en 1976. Cette collaboration entre Porsche et Volkswagen est née du besoin de Volkswagen de renouveler sa gamme de voitures de sport après l'arrêt de la production de la Karmann Ghia. Porsche, de son côté, cherchait à élargir sa gamme de modèles avec une voiture plus abordable. La conception de la 914 a été confiée à Porsche, tandis que la fabrication a été réalisée conjointement avec Volkswagen. Le design de la voiture était plutôt unique pour son époque, avec une carrosserie Targa, un moteur monté à l'arrière et une suspension indépendante sur les quatre roues"
Porsche,Collection,944,1982,Rouge,I4,187,"13,990","La Porsche 944 est née d'une évolution de la Porsche 924. Elle a été introduite sur le marché en 1982 et produite jusqu'en 1991. La 944 a été conçue pour être une voiture de sport plus performante et plus raffinée que la 924, offrant une expérience de conduite encore plus sportive tout en conservant le confort et la praticité d'une GT (Grand Tourisme). La 944 était équipée d'un moteur quatre cylindres en ligne monté à l'avant, qui offrait des performances impressionnantes grâce à sa conception équilibrée et à son potentiel de réglage. Elle était disponible en différentes versions au fil des ans, avec des améliorations constantes de ses performances, de sa tenue de route et de son confort."
Aston Martin,Collection,DB5,1964,Gris,I6,325,"1,000,000","L'Aston Martin DB4 GT est une version sportive de la célèbre DB4. Introduite en 1959, cette voiture de course homologuée pour la route était conçue pour la compétition. Avec son moteur six cylindres en ligne, la DB4 GT offrait des performances supérieures et une agilité exceptionnelle. Produite en petite quantité, cette Aston Martin est devenue l'une des voitures de collection les plus recherchées au monde. Posséder une DB4 GT, c'est posséder une pièce d'histoire automobile et un symbole du raffinement britannique en matière de voitures de sport. Chaque détail de la DB4 GT témoigne de l'engagement d'Aston Martin envers l'excellence et l'innovation."
Aston Martin,Collection,DB4,1960,Vert,I6,315,"850,000","L'Aston Martin DB5 est une icône de l'industrie automobile britannique. Célèbre pour son apparition dans plusieurs films de James Bond, la DB5 incarne l'élégance et le luxe intemporel. Dotée d'un moteur six cylindres en ligne, cette voiture offrait des performances impressionnantes et un style incomparable. Avec ses lignes épurées et son intérieur raffiné, la DB5 reste l'une des voitures les plus emblématiques jamais produites par Aston Martin. Posséder une DB5, c'est posséder une pièce de l'histoire du cinéma et de l'automobile, ainsi qu'un symbole de l'élégance britannique. Chaque détail de la DB5 respire le luxe et la sophistication."
Aston Martin,Collection,DB6,1965,Bleu,I6,382,"1,400,000","L'Aston Martin DB6 est la continuation de la lignée des DB lancée par la DB4. Cette version améliorée, introduite en 1965, offrait un style modernisé et des performances accrues par rapport à son prédécesseur. Avec son moteur six cylindres en ligne, la DB6 offrait une conduite raffinée et des performances de grand tourisme. Connu pour son confort et son élégance, ce modèle est très apprécié des collectionneurs. Posséder une DB6, c'est posséder une pièce de l'histoire automobile britannique et un symbole du luxe et de la performance. Chaque aspect de la DB6 témoigne de l'engagement d'Aston Martin envers l'excellence et le raffinement."
Aston Martin,Collection,V8 Vantage,1977,Bleu,V8,410,"110,000","L'Aston Martin V8 Vantage est une GT de luxe introduite en 1977. Avec son moteur V8, cette voiture offrait des performances impressionnantes et un style élégant. La V8 Vantage était également connue pour sa technologie de pointe et son confort de conduite. En raison de son histoire riche et de son charisme, elle est devenue une icône dans le monde des voitures de sport haut de gamme. La V8 Vantage incarne le mariage parfait entre le luxe et la performance, offrant une expérience de conduite inoubliable à ses heureux propriétaires."
Aston Martin,Collection,DB2,1953,Vert,I6,106,"325,000","L'Aston Martin DB2 est l'un des premiers modèles de la marque après la Seconde Guerre mondiale. Lancée en 1950, cette voiture de sport était équipée d'un moteur six cylindres en ligne et offrait des performances remarquables pour son époque. La DB2 était également reconnue pour son design élégant et son confort de conduite. En raison de son histoire riche et de son importance dans l'évolution d'Aston Martin en tant que fabricant de voitures de sport de renom, la DB2 est devenue très prisée des collectionneurs du monde entier. Posséder une DB2, c'est posséder un morceau de l'histoire automobile britannique."
Aston Martin,Collection,DBS,1971,Blanc,V8,340,"105,000","L'Aston Martin DBS V8 était la version V8 de la célèbre DBS. Introduite en 1971, cette voiture de grand tourisme offrait des performances améliorées grâce à son moteur V8 plus puissant. Avec son style élégant et ses performances impressionnantes, la DBS V8 est devenue très prisée des amateurs de voitures de sport de luxe. En raison de son histoire riche et de son importance dans l'évolution de la marque Aston Martin, elle est très recherchée par les collectionneurs du monde entier. Posséder une DBS V8, c'est posséder une pièce de l'histoire automobile britannique et un symbole de l'élégance et de la performance."
Aston Martin,Collection,DB7,1994,Vert,V12,420,"19,000","L'Aston Martin DB7 est une GT de luxe produite de 1994 à 2004. Avec son moteur six cylindres en ligne ou V12, cette voiture offrait des performances exceptionnelles et un confort de conduite inégalé. La DB7 était également reconnue pour son design élégant et son intérieur luxueux. En raison de son histoire riche et de son importance dans l'évolution de la marque Aston Martin, elle est très prisée des collectionneurs du monde entier. Posséder une DB7, c'est posséder une pièce de l'histoire automobile britannique et un symbole du luxe et de la performance."
Lamborghini,Collection,Miura,1966,Rouge,V12,350,"1,100,000","La Lamborghini Miura est un modèle de voiture de sport produite par le fabricant italien Lamborghini entre 1966 et 1973. Elle est souvent créditée comme la première supercar moderne, introduisant le concept du moteur central-arrière dans les voitures de production en série.La conception de la Miura est le fruit du travail de l'équipe de Lamborghini, y compris les ingénieurs Gian Paolo Dallara, Paolo Stanzani et Bob Wallace, ainsi que du designer Marcello Gandini de chez Bertone. La voiture a été nommée d'après le célèbre éleveur de taureaux Don Eduardo Miura, renforçant ainsi l'image de puissance et de force associée à la marque Lamborghini.Dotée d'un moteur V12 de 4 litres monté en position centrale, la Miura délivrait une puissance impressionnante pour son époque, allant jusqu'à 350 chevaux. Son allure basse et agressive, avec ses lignes fluides et ses portes à ouverture papillon, en ont fait une icône du design automobile."
Lamborghini,Collection,Countach,1987,Noir,V12,455,"750,000","La Lamborghini Countach, une légende de l'industrie automobile, a marqué son époque par ses performances exceptionnelles et son design révolutionnaire. Propulsée par un moteur V12 monté en position centrale, la Countach offrait une puissance impressionnante, atteignant jusqu'à 455 chevaux dans certaines versions, tandis que sa vitesse maximale dépassait les 290 km/h. Ces chiffres incroyables en faisaient l'une des voitures les plus rapides et les plus puissantes de son temps, établissant de nouveaux standards de performance et de technologie pour les supercars à venir. La Countach a ainsi laissé une empreinte indélébile dans l'histoire de l'automobile, captivant les passionnés du monde entier par son mélange inégalé de puissance brute et de design avant-gardiste."
Lamborghini,Collection,Diablo,1992,Noir,V12,500,"275,000","La Lamborghini Diablo, introduite en 1990, représentait le summum de l'ingénierie automobile de son époque. Dotée d'un moteur V12 atmosphérique, la Diablo a évolué au fil des ans pour offrir des performances impressionnantes, avec une puissance allant de 485 à plus de 500 chevaux dans les éditions ultérieures. Sa vitesse maximale, variant entre 320 et 340 km/h selon les versions, en faisait l'une des voitures les plus rapides de son temps. La Diablo se démarquait également par son design saisissant, caractérisé par des lignes angulaires et agressives, signées Marcello Gandini. À l'intérieur, elle offrait un habitacle luxueux et ergonomique, offrant à la fois confort et contrôle pour le conducteur. La technologie était également au cœur de la Diablo, avec des caractéristiques telles que la transmission intégrale sur les modèles VT, qui améliorait la traction et la stabilité, et des systèmes de suspension sophistiqués pour une tenue de route optimale."
Lamborghini,Collection,Jalpa,1981,Blanc,V8,235,"100,000","La Lamborghini Jalpa, produite entre 1981 et 1988, a marqué une période intéressante dans l'histoire de Lamborghini. Conçue comme une alternative plus abordable aux modèles V12 de la marque, la Jalpa était équipée d'un moteur V8 de 3,5 litres développant environ 255 chevaux. Bien que moins puissante que ses homologues, elle offrait néanmoins des performances respectables, avec une vitesse maximale d'environ 245 km/h et une accélération de 0 à 100 km/h en environ 6 secondes."
Lamborghini,Collection,Urraco,1973,Bleu,V8,200,"70,000","La Lamborghini Urraco, lancée en 1973, était un modèle crucial pour la marque italienne. Conçue pour élargir la gamme Lamborghini et la rendre plus accessible, la Urraco arborait un design élégant et sportif, signé Marcello Gandini de chez Bertone. Propulsée par un moteur V8 monté en position centrale, elle était disponible en plusieurs versions, notamment la P250, la P200 et la P300, offrant des puissances respectives autour de 250, 200 et 182 chevaux. Bien que ses performances étaient solides pour l'époque, atteignant une vitesse maximale d'environ 240 km/h, la Urraco a été confrontée à des défis, notamment des problèmes de qualité et la crise pétrolière des années 1970. Malgré sa production limitée d'environ 791 unités et sa fin de production en 1979, la Urraco reste appréciée des passionnés pour son design distinctif et son rôle dans l'histoire de Lamborghini, symbolisant la tentative de la marque de s'ouvrir à un nouveau public tout en conservant son essence sportive et luxueuse."
Lamborghini,Collection,Diablo SV,1995,Jaune,V12,520,"270,000","La Lamborghini Diablo SV que nous vous proposons à la vente est une 1ère série, avec les phares escamotables, symboles d'une époque. C'est la dernière vraie Lamborghini à roues arrière motrices avant le rachat par Audi. Produite entre 1995 et 1998, la Diablo SV première série est une simple propulsion qui dispose de suspensions mécaniques. Elle est équipée du moteur V12 développant une puissance de 520 ch mais aussi de jantes arrière en 18 pouces et d'un aileron arrière réglable. Les freins étaient renforcés et majorés. A l'intérieur, le cuir fait place à l'Alcantara et les appuie-têtes sont brodés SV. Dans cette livrée Giallo Fly, avec ses roues noires d'origine, cette Diablo impressionne par son impact visuel. Notre modèle a un historique limpide : livrée neuve en France par JB Automobiles, cette Diablo SV a toujours appartenue à des français et été entretenue en France. Nous possédons le carnet d'origine ainsi que toutes les factures d'entretien! Parfaitement entretenue et conservée, son état mécanique et esthétique est irréprochable."
Maserati,Collection,500GT Touring,1962,Bleu,I6,220,"340,000","La Maserati 3500GT Touring de 1962 est souvent célébrée comme une des icônes de l'élégance et de la performance dans le monde de l'automobile classique. Lancée dans les années 50, cette splendide voiture de grand tourisme symbolise le raffinement de l'ingénierie et du design italiens de cette époque. Equipée d'un moteur six cylindres en ligne de 3,5 litres développant environ 220 chevaux, la 3500GT Touring était conçue pour allier vitesse et confort sur de longues distances. Avec son design carrossé par Touring de Milan, elle marie la beauté classique et l'innovation technique, ce qui en fait un modèle très convoité par les collectionneurs. La Maserati 3500GT Touring reste une pièce de collection de grande valeur, appréciée pour son histoire, son esthétique et ses performances sur route."
Maserati,Collection,Sebring 3500 GTi ,1965,Rouge,I6,268,"200,000","La Maserati Sebring 3500 GTi de 1965 est une icône emblématique qui fusionne avec élégance la performance sportive et le luxe. Successeur de la célèbre 3500GT, ce modèle est propulsé par un robuste moteur six cylindres de 3,5 litres, offrant une expérience de conduite dynamique et raffinée. Conçue en collaboration avec le carrossier italien Vignale, la Sebring se distingue par un design sophistiqué qui évoque le prestige et la grâce. Limitée en production, elle est devenue une pièce de collection extrêmement recherchée, appréciée pour son esthétique distinctive et sa mécanique avancée. Représentant l'apogée de l'automobile italienne des années 60, la Maserati Sebring 3500 GTi continue de captiver les amateurs et collectionneurs du monde entier avec son histoire riche et son héritage prestigieux."
Maserati,Collection,Ghibli Spyder,1967,Vert,V8,290,"760,000","La Maserati Ghibli Spyder de 1967 est une œuvre d'art roulante, emblématique du design et de la performance à l'italienne. Dessinée par Giugiaro, sa ligne épurée et sportive séduit instantanément. Dotée d'un puissant moteur V8, elle combine vitesse et sonorité envoûtante. Sa rareté et son élégance en font une pièce de choix pour les collectionneurs. Synonyme de luxe, la Ghibli Spyder incarne la passion et l'innovation de Maserati, marquant les esprits comme une des voitures les plus désirables de son époque. Avec son charme intemporel, elle reste un symbole prestigieux du patrimoine automobile."
Maserati,Collection,A61500,1949,Rouge,I6,156,"549,000","La Maserati A6 1500 de 1949 marque un tournant historique pour la marque italienne, introduisant Maserati dans le segment des voitures de route tout en conservant l'essence de ses origines de course.Conçue par Pininfarina, elle se distingue par son élégance et ses lignes fluides, préfigurant le design des GT modernes. Sous le capot, le moteur six cylindres de 1,5 litre, bien que modeste en puissance, reflète une ingénierie de précision, offrant une expérience de conduite raffinée et sportive. Sa production limitée et son design avant-gardiste font de l'A6 1500 un modèle très recherché et respecté parmi les collectionneurs, incarnant le début de l'ère des voitures de grand tourisme chez Maserati."
Maserati,Collection,Quattroporte,1967,Bleu,V8,240,"1,300,000","La Maserati Quattroporte de 1967 est un symbole d'élégance et de puissance, fusionnant le luxe d'une berline avec la performance d'une voiture de sport. Conçue pour répondre à la demande d'une clientèle exigeante souhaitant la vitesse d'une GT dans un format plus spacieux, la Quattroporte incarne la quintessence du confort et de la rapidité. Dotée d'un moteur V8 robuste, elle offre des accélérations impressionnantes tout en maintenant un niveau de confort et de raffinement adapté aux longs trajets. Son design, à la fois classique et imposant, reflète le prestige de la marque Maserati. Limitée en production, cette version est devenue une icône pour les connaisseurs, symbolisant le mariage parfait entre performance sportive et luxe discret."
Maserati,Collection,Merak,1978,Bleu,V6,378,"120,000","La Maserati Merak de 1978 est une voiture de sport italienne emblématique, reconnue pour son équilibre entre performance, style et accessibilité relative. Contrairement à ses prédécesseurs plus rares, la Merak a été produite en plus grand nombre, la rendant plus accessible tout en conservant les qualités distinctives de Maserati. Équipée d'un moteur V6 de 3,0 litres conçu en collaboration avec Citroën, elle offre une expérience de conduite dynamique et agile, typique des voitures de sport italiennes de cette époque. Son design, caractérisé par des lignes angulaires et une silhouette basse, est l'œuvre de Giorgetto Giugiaro. Bien que moins rare que d'autres modèles Maserati, la Merak reste très recherchée pour son mélange unique de performance, de style et d'héritage Maserati, symbolisant l'élégance sportive des années 70."
